dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
assist_09,self_only_fallback,0.0,42,multi_concept,8419,0.7517166715298291,0.0,0.5485938352732024,2.1254109583423997e-11,0.7517166715298291,0.5485938352519483,12.95121955871582,True
assist_09,self_only_fallback,0.25,42,all,51090,0.7602030625747823,0.014759448995709246,0.5393287345856302,0.008643050353142612,0.7749625115704916,0.5306856842324876,1.0,True
assist_09,self_only_fallback,0.25,42,graph_hits_history,50529,0.7601386166900641,0.01459578178281351,0.5389440318628844,0.008462359712470668,0.7747343984728776,0.5304816721504138,1.0,True
assist_09,self_only_fallback,0.25,42,high_support_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605957638,0.01848868360959144,0.7517428414785654,0.5042190769861724,1.0,True
assist_09,self_only_fallback,0.25,42,query_seq_top5_q4_high,12141,0.7852926478875515,0.012498395830667808,0.502753137814934,0.006610767467510104,0.7977910437182193,0.4961423703474239,1.0,True
assist_09,self_only_fallback,0.25,42,multi_concept,8419,0.7457581173511552,0.005958554178673969,0.5509533925365695,0.0023595572846212276,0.7517166715298291,0.5485938352519483,1.0,True
assist_09,self_only_fallback,0.5,42,all,51090,0.7602030625747823,0.014759448995709246,0.5393287345856302,0.008643050353142612,0.7749625115704916,0.5306856842324876,1.0,True
assist_09,self_only_fallback,0.5,42,graph_hits_history,50529,0.7601386166900641,0.01459578178281351,0.5389440318628844,0.008462359712470668,0.7747343984728776,0.5304816721504138,1.0,True
assist_09,self_only_fallback,0.5,42,high_support_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605957638,0.01848868360959144,0.7517428414785654,0.5042190769861724,1.0,True
assist_09,self_only_fallback,0.5,42,query_seq_top5_q4_high,12141,0.7852926478875515,0.012498395830667808,0.502753137814934,0.006610767467510104,0.7977910437182193,0.4961423703474239,1.0,True
assist_09,self_only_fallback,0.5,42,multi_concept,8419,0.7457581173511552,0.005958554178673969,0.5509533925365695,0.0023595572846212276,0.7517166715298291,0.5485938352519483,1.0,True
assist_09,self_only_fallback,0.75,42,all,51090,0.7602030625747823,0.014759448995709246,0.5393287345856302,0.008643050353142612,0.7749625115704916,0.5306856842324876,1.0,True
assist_09,self_only_fallback,0.75,42,graph_hits_history,50529,0.7601386166900641,0.01459578178281351,0.5389440318628844,0.008462359712470668,0.7747343984728776,0.5304816721504138,1.0,True
